Product Name,Price,Available,No. Units,Store,Time,Link
ASUS NVIDIA GeForce RTX 5090 ROG Astral Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$3,079.99",False,0,Micro Center,2025-02-08 17:06:38.208013,https://www.microcenter.com/product/690032/asus-nvidia-geforce-rtx-5090-rog-astral-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 ROG Astral Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,459.99",False,0,Micro Center,2025-02-08 17:06:38.285019,https://www.microcenter.com/product/690032/asus-nvidia-geforce-rtx-5090-rog-astral-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 SUPRIM SOC Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,549.99",False,0,Micro Center,2025-02-08 17:06:38.375026,https://www.microcenter.com/product/690484/msi-nvidia-geforce-rtx-5090-suprim-soc-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 SUPRIM SOC Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$1,999.99",False,0,Micro Center,2025-02-08 17:06:38.463034,https://www.microcenter.com/product/690484/msi-nvidia-geforce-rtx-5090-suprim-soc-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 AORUS XTREME WATERFORCE WB Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,529.99",False,0,Micro Center,2025-02-08 17:06:38.543038,https://www.microcenter.com/product/690624/gigabyte-nvidia-geforce-rtx-5090-aorus-xtreme-waterforce-wb-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 AORUS XTREME WATERFORCE WB Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$3,409.99",False,0,Micro Center,2025-02-08 17:06:38.627045,https://www.microcenter.com/product/690624/gigabyte-nvidia-geforce-rtx-5090-aorus-xtreme-waterforce-wb-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 Windforce Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,599.99",False,0,Micro Center,2025-02-08 17:06:38.713050,https://www.microcenter.com/product/690450/gigabyte-nvidia-geforce-rtx-5090-windforce-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 Windforce Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,439.99",False,0,Micro Center,2025-02-08 17:06:38.802057,https://www.microcenter.com/product/690450/gigabyte-nvidia-geforce-rtx-5090-windforce-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 17:06:38.903065,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,199.99",False,0,Micro Center,2025-02-08 17:06:38.999072,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
